22,R/V,N9.5,YR/B,bright,
22,R/V,N9.5,Y/V,festive,
22,R/V,N9.6,PB/V,vigorous,
22,R/V,Y/Dl,Y/V,hot,
22,R/V,Y/V,PB/Dp,vigorous,
22,R/V,N9.5,N1.5,bold,
22,R/S,N1.5,R/V,forceful,
22,R/V,N1.5,Y/V,dynamic,
22,BG/V,R/V,N1.5,dynamic and active,
23,YR/S,R/S,Y/S,rich,
23,R/S,R/P,RP/Dl,mature,
23,R/S,RP/L,RP/Dl,alluring,
23,YR/Dp,R/S,YR/Dk,untamed,
23,R/S,Y/S,P/B,glossy,
23,P/Dl,R/S,P/L,fascinating,
23,YR/S,R/S,G/Dl,abundant,
23,R/S,Y/S,RP/Dgr,luxurious,
23,YR/Dk,R/S,P/Dk,mellow,
24,R/B,R/Vp,YR/P,sweet,
24,R/B,YR/P,Y/P,cheerful,
24,R/B,Y/Vp,B/P,childlike,
24,RP/B,Y/P,R/B,joyful,
24,R/B,N9.5,Y/V,bright,
24,R/B,Y/P,G/B,merry,
24,R/V,N9.5,R/B,festive,
24,Y/B,R/B,P/B,colorful,
24,RP/S,R/B,P/S,brilliant,
25,R/P,Y/Vp,YR/P,sweet,
25,Y/P,R/P,YR/Vp,pretty,
25,R/P,YR/Vp,R/Lgt,sunny,
25,R/L,R/P,Y/Vp,generous,
25,R/P,Y/P,G/P,childlike,
25,R/P,YR/Vp,RP/P,sweet and dreamy,
25,R/P,GY/P,Y/B,sweet-sour,
25,R/P,Y/P,B/P,cute,
25,R/P,YR/Vp,P/Lgr,feminine,
26,R/Lgr,R/Vp,R/P,agreeable to the touch,
26,YR/Lgr,R/Vp,Y/Lgr,amiable,
26,R/Vp,N9.5,G/Vp,innocent,
26,R/Vp,R/Lgr,R/L ,smooth,
26,R/Vp,P/Lgr,Y/Lgr,gentle,
26,R/Vp,N8,G/Vp,supple,
26,RP/P,R/Vp,P/P,sweet and dreamy,
26,R/Vp,RP/P,P/VP,soft,
26,RP/P,R/Vp,B/Vp,charming,
27,YR/Lgr,R/Vp,R/Lgr,agreeable to the touch,
27,R/Lgr,P/Lgr,YR/Vp,supple,
27,R/Lgr,N9,GY/Lgr,soft,
27,YR/Lgr,R/Lgr,R/Vp,smooth,
27,YR/Vp,R/Lgr,N7,amiable,
27,R/Lgr,YR/Vp,P/P,tender,
27,R/L,R/Lgr,R/Gr,gentle and elegant,
27,R/Lgr,R/Lgr,YR/Dl,mild,
27,R/Lgr,P/Gr,P/Lgr,genteel,
28,R/L,Y/Lgr,YR/L,pleasant,
28,YR/Vp,YR/Lgr,R/L,mild,
28,R/Vp,R/L,RP/Gr,tender,
28,YR/P,R/L,YR/Lgr,domestic,
28,R/L,YR/Lgr,YR/Dl,generous,
28,RP/Lgr,R/L,YR/Gr,emotional,
28,YR/B,Y/Vp,R/L,casual,
28,R/Lgr,R/L,R/Gr,gentle and elegant,
28,R/L,RP/Lgr,P/Gr,graceful,
29,R/L,YR/Lgr,R/Gr,gentle and elegant,
29,R/Gr,N8,GY/Gr,calm,
29,PB/Vp,N7,R/Gr,sedate,
29,R/Lgr,R/Gr,R/Dl,nostalgic,
29,R/Gr,Y/Lgr,Y/Gr,Japanese,
29,P/Lgr,R/Gr,P/Gr,elegant,
29,R/Dp,R/Gr,P/Dp,mellow,
29,RP/Dl,R/Gr,RP/Lgr,sleek,
29,R/Gr,P/Lgr,RP/Gr,emotional,
30,R/S,YR/S,R/Dl,delicious,
30,R/Dl,YR/L,Y/Lgr,pleasant,
30,R/Dl,YR/Lgr,Y/Dl,nostalgic,
30,Y/S,RP/Dk,R/Dl,mature,
30,P/Dp,R/Dl,GY/Gr,interesting,
30,R/Dl,PB/Dk,GY/Dl,diligent,
30,P/Dl,R/Dl,R/Dp,alluring,
30,R/Dl,R/Dp,P/Dk,mellow,
30,YR/Gr,GY/Dk,R/Dl,tasteful,
31,R/Dp,Y/S,P/Dp,extravagant,
31,R/Dp,YR/Gr,P/Dk,mellow,
31,R/Dp,P/Dl,Y/Dl,ethnic,
31,R/Dp,Y/S,GY/Dk,rich,
31,Y/S,R/Dp,N1.5,luxurious,
31,R/Dp,P/Dk,BG/Dl,elaborate,
